ID,Name,Pos,tier,tierValue,recommendedDrawWeight,Positive,Negative,Neutral,years active,scout hint,extraHint1,extraHint2
,Rasual Butler,SF,BENCH,2,0.3,Started 74 games in the 2008-09 season.,Shot 40.3% from the field for his career.,Played college basketball at La Salle.,"2002-2012, 2013-2016","After 10 straight NBA seasons, spent 2012-13 in the D-League before making it back to the NBA.","At age 35, appeared in 75 games and shot 38.7% from three for Washington.",Was drafted 53rd overall but still lasted 13 NBA seasons and played 809 games.
,Luke Walton,SF,BENCH,2,0.3,Averaged 4.3 assists per game in his best NBA season.,Shot 32.6% from three for his career.,Played college basketball at Arizona.,2003-2013,Was drafted 32nd overall in 2003.,Won back-to-back NBA championships with the Lakers in 2009 and 2010.,"His father, Bill Walton, also won exactly 2 NBA championships, making them the only father-son combination to each win multiple NBA titles."
,Quincy Pondexter,SF,BENCH,2,0.3,Shot 45.3% from three during Memphis' 2013 playoff run.,Played only 15 games in 2013-14.,Played college basketball at Washington.,"2010-2015, 2017-2019","Began his NBA career in New Orleans, left for Memphis, then was reacquired by New Orleans in 2015.","After joining New Orleans in 2015, shot 43.3% from three after shooting 23.3% for Memphis.","At one point went 863 days without appearing in an NBA game, with knee issues requiring three separate procedures during the absence."
,Solomon Hill,SF,BENCH,2,0.3,Played all 82 games and started 78 in 2014-15.,"The following season, started only 3 games and took 23 DNP-CDs.",Played college basketball at Arizona.,2013-2022,Volunteered to play Summer League immediately after a season in which he had started 78 NBA games.,Averaged 7.7 points in the 2016 playoffs after averaging only 4.2 during the regular season.,"Immediately afterward agreed to a 4-year, $48 million contract with New Orleans."
,James Ennis III,SF,BENCH,2,0.3,Averaged 17.0 points and 6.9 rebounds as a college senior.,Was selected only 50th overall in the NBA draft.,Attended two junior colleges before transferring to Long Beach State.,2014-2022,Won Big West Player of the Year as a senior.,Was drafted by Atlanta and traded to Miami before ever playing an NBA game.,Spent his first professional season in Australia and won the NBL championship with Perth before making his NBA debut.
,Alonzo Gee,SF,BENCH,2,0.3,Shot 77.8% from three across his first 11 NBA games.,Finished his NBA career at 32.5% from three.,Played college basketball at Alabama.,2010-2017,Won the 2009-10 D-League Rookie of the Year award.,Was waived four times by three different NBA teams before signing with Cleveland in December 2010.,"During the 2011 lockout, left to play professionally in Poland, then returned to Cleveland once NBA play resumed."
,Darius Miller,SF,BENCH,2,0.3,Shot 38.3% from three for his NBA career.,Missed the entire 2019-20 NBA season recovering from an Achilles injury.,Played four seasons at Kentucky.,"2012-2015, 2017-2019, 2020-2021",Was part of Kentucky's 2012 national championship team.,Left the NBA for Germany and won 3 consecutive German League championships with Brose Bamberg.,Returned to New Orleans after more than two years in Europe and immediately played all 82 games while shooting 41.1% from three.
,Adam Morrison,SF,BUST,1,0.15,Led Division I with 28.1 PPG in his final college season.,An ACL tear erased his entire second NBA season.,Has managed Type 1 diabetes since age 12.,"2006-2007, 2008-2010",Made the All-Rookie Second Team after averaging 11.8 PPG.,Won back-to-back NBA titles with the Lakers.,"Gonzaga star and NCAA March Madness 07 cover athlete, drafted 3rd."
,Michael Kidd-Gilchrist,SF,BUST,1,0.15,Led NBA small forwards with 7.6 rebounds per game in 2014-15.,Re-tore a repaired shoulder labrum after returning early.,Started for Kentucky's 2012 national championship team.,2012-2020,"As a rookie, ranked top-10 among rookies in five major stats.",Dropped 25 points and 12 rebounds in his fifth NBA game.,"Charlotte drafted him 2nd, immediately after teammate Anthony Davis."
,Darius Miles,SF,BUST,1,0.15,Once scored 47 points in an NBA game.,Microfracture surgery cost him two full seasons.,Entered the NBA directly from high school.,"2000-2006, 2008-2009",First prep-to-pro player to make an NBA All-Rookie team.,The Clippers drafted him 3rd overall in 2000.,Part of the cult-favorite Clippers core with Odom and Richardson.
,Josh Jackson,SF,BUST,1,0.15,"As a freshman, averaged 15/5/3 while shooting above 48%.",Shot 29.2% from three and 68.0% at the line.,"Set Kansas freshman records for double-doubles, field goals and rebounds.",2017-2022,Made the NBA All-Rookie team at 13.1 PPG.,"After 291 NBA games, his next stop was the G League.",Phoenix drafted him 4th overall after one Kansas season.
,Mario Hezonja,SF,BUST,1,0.15,Won Spanish Liga ACB MVP in 2025-26.,Averaged 6.9 points across his first 330 NBA games.,Began senior professional basketball with Barcelona as a teenager.,"2015-2020, 2026-present",Returned to the NBA in 2026 after six seasons overseas.,Blocked LeBron's potential game-winner to seal a one-point Knicks win.,"Dunked on a Giannis chasedown attempt, then stepped over him."
,Stanley Johnson,SF,BUST,1,0.15,Won four straight California high-school state championships.,Shot 39.1% from the field for his NBA career.,Won Pac-12 Freshman of the Year at Arizona.,2015-2023,Served as Detroit's sixth man on its first playoff team in seven years.,Detroit drafted him 8th overall in 2015.,"As a rookie guarding LeBron, declared: ""I'm definitely in his head."""
,Kevin Knox,SF,BUST,1,0.15,Scored 34 in Kentucky's comeback win at No. 7 West Virginia.,Shot 39.3% from the field for his NBA career.,Wore a Fortnite-lined suit jacket on NBA Draft night.,2018-2025,Led Kentucky in scoring and threes as an SEC co-Freshman.,Knicks fans booed his selection on draft night.,New York took him 9th with Michael Porter Jr. still available.
,Joe Alexander,SF,BUST,1,0.15,Posted a 38.5-inch max vertical and 24 bench reps at the combine.,A hamstring injury cost him his first 41 games of year two.,"Born in Taiwan, becoming the NBA's first Taiwanese-born player.",2008-2010,West Virginia's first first-round pick in 40 years.,Milwaukee drafted him 8th overall in 2008.,Finished with only 67 NBA games and zero starts.
,Rodney White,SF,BUST,1,0.15,Led all freshmen in scoring and won C-USA Freshman of the Year.,Played 16 rookie games while shooting 35.0%.,Played one college season at Charlotte.,2001-2005,Jerry West reportedly called him the 2001 draft's best player.,"Detroit took him 9th, one pick before Joe Johnson.",Joe Dumars later said his gut had favored Joe Johnson.
,Luke Jackson,SF,BUST,1,0.15,Only Oregon player with two career triple-doubles.,Played just 10 games as an NBA rookie.,Left-handed wing who stayed home to play for Oregon.,2004-2008,Cleveland drafted him 10th overall in 2004.,Drafted partly to give young LeBron another shooter.,Finished with 73 NBA games and only 3 starts.
,Shabazz Muhammad,SF,BUST,1,0.15,Averaged 13.5 PPG on 48.9% shooting in year two.,Averaged just 0.5 assists for his NBA career.,Shoots left-handed.,2013-2018,Entered UCLA as the No. 1 recruit in his class.,"Drafted 14th by Utah, then moved to Minnesota that night.",Dropped 35 off the bench against the 69-8 Warriors.
,Julian Wright,SF,BUST,1,0.15,Shot 49.9% from the field for his NBA career.,Shot 58.4% at the line and 26.2% from three.,Two-time All-Big 12 player at Kansas.,2007-2011,Scored exactly 20 points on March 7 in consecutive years.,New Orleans traded him straight-up for Marco Belinelli.,"Drafted 13th, but lasted only 231 NBA games."
,Austin Daye,SF,BUST,1,0.15,Shot 40.1% from three in his second NBA season.,Averaged 5.2 points for his NBA career.,Stood 6-foot-11 and is former NBA player Darren Daye's son.,2009-2015,Detroit drafted him 15th overall in 2009.,Moved with Tayshaun Prince in the Rudy Gay trade.,Won the 2014 title despite playing only five career playoff games.
,Sam Dekker,SF,BUST,1,0.15,Scored 30 with six threes in his first NBA start.,Shot 28.8% from three and 60.6% at the line.,Wisconsin native who played three seasons for the Badgers.,"2015-2019, 2021-2022",Houston drafted him 18th overall in 2015.,Won 2015 NCAA West Region Most Outstanding Player.,Helped Wisconsin end Kentucky's 38-0 season in the Final Four.
,Al Thornton,SF,BUST,1,0.15,Averaged 16.8 PPG in his second NBA season.,Shot 29.3% from three for his NBA career.,Cousin of former NBA guard Marcus Thornton.,2007-2011,ACC scoring leader and runner-up for conference Player of the Year.,Once scored 45 points for Florida State.,"All-Rookie First Team, then out of the NBA after 296 games."
,Tim Duncan,PF,HALL_OF_FAMER,5,0.05,Played all 82 games as a rookie.,Never won Defensive Player of the Year.,Promised his mother he would finish college.,1997-2016,A hurricane ended his Olympic-swimming path.,Won 2 MVPs.,Posted 21/20/10/8 in a Finals clincher.
,Kevin Garnett,PF,HALL_OF_FAMER,5,0.05,Played 21 NBA seasons.,His first 7 playoff trips ended in Round 1.,Entered the NBA directly from high school.,1995-2016,A pickup run with Scottie Pippen pushed him toward the draft.,Won MVP and 4 straight rebounding titles.,"Won the 2008 title and yelled ""Anything is possible!"""
,Dirk Nowitzki,PF,HALL_OF_FAMER,5,0.05,Won the 2006 Three-Point Contest.,Averaged only 8.2 PPG as a rookie.,Grew up playing handball and tennis.,1998-2019,Trained with saxophone music and unusual footwork drills.,Played 21 seasons with one franchise.,"First European MVP, then 2011 Finals MVP."
,Giannis Antetokounmpo,PF,HALL_OF_FAMER,5,0.05,Won Most Improved Player in 2017.,Averaged only 6.8 PPG as a rookie.,"Sold watches, sunglasses, CDs and DVDs as a kid.",2013-present,Grew 2.5 inches during his rookie year.,Won MVP and DPOY in the same season.,Scored 50 in a title-clinching Finals game.
,Charles Barkley,PF,HALL_OF_FAMER,5,0.05,Shot 59.4% from the field in 1989-90.,Was cut from the 1984 Olympic team.,Moses Malone told him to lose weight to become great.,1984-2000,"Listed at 6-foot-6, yet led the NBA in rebounding.",Won MVP in his first season after being traded.,Dropped 44 and 24 in Game 7 to reach the Finals.
,Karl Malone,PF,ALL_STAR,4,0.15,Played all 82 games nine times.,Shot 48.1% FT as a rookie.,Played three seasons at Louisiana Tech.,1985-2004,Drafted 13th overall in 1985.,Missed only 10 games in 18 Utah seasons.,Wrestled Dennis Rodman in WCW after the 1998 Finals.
,Anthony Davis,PF,ALL_STAR,4,0.15,Had 16 rebounds and 6 blocks in the NCAA title game.,Shot 1-for-10 in the 2012 NCAA title game.,Grew from 6'2 to 6'10 in high school.,2012-present,"Trademarked ""Fear the Brow.""",Won Olympic gold before his NBA debut.,Dropped 59 points and 20 rebounds in one game.
,Chris Webber,PF,ALL_STAR,4,0.15,Won Rookie of the Year.,Never reached the NBA Finals.,Once threatened not to report after being traded.,1993-2008,"No. 1 pick, traded for No. 3 and three future firsts.",Helped take the Fab Five to two Final Fours.,Called the infamous timeout Michigan didn't have.
,Pau Gasol,PF,ALL_STAR,4,0.15,Won Rookie of the Year.,Lost his first 12 playoff games.,Spent a year in medical school.,2001-2019,Speaks five languages and plays piano.,Traded for a package that included his younger brother.,Had 19 and 18 in Game 7 of the 2010 Finals.
,Chris Bosh,PF,ALL_STAR,4,0.15,Shot 47.8% from three in his lone college season.,Scored 0 points in a Finals Game 7 win.,Was heavily interested in computer science growing up.,2003-2016,Drafted 4th overall in 2003.,Won back-to-back titles after leaving his first team.,Grabbed the rebound that set up Ray Allen's Game 6 three.
,Amar'e Stoudemire,PF,ALL_STAR,4,0.15,Played all 82 games as a rookie.,Played only 3 games in 2005-06.,Didn't play organized basketball until age 14.,2002-2016,Attended six high schools in five years.,Won Rookie of the Year straight from high school.,Averaged 37.0 PPG in the 2005 West Finals.
,Blake Griffin,PF,ALL_STAR,4,0.15,Won four straight high-school state titles.,Missed his entire first NBA season before debuting.,Performed stand-up comedy during his career.,2010-2023,Played at Oklahoma alongside his older brother.,"No. 1 pick, then became unanimous Rookie of the Year.",Won the Dunk Contest by jumping over a car.
,LaMarcus Aldridge,PF,ALL_STAR,4,0.15,Scored 56 points in an NBA game.,Averaged just 9.0 PPG as a rookie.,Hosted Kevin Durant on his Texas recruiting visit.,2006-2022,Was the No. 2 pick in 2006.,"Retired midseason in 2021, then returned that fall.",Made 7 All-Star teams across Portland and San Antonio.
,Kevin Love,PF,ALL_STAR,4,0.15,Posted 31 points and 31 rebounds in one game.,Averaged only 8.5 PPG in the 2016 Finals.,His uncle is Beach Boys singer Mike Love.,2008-present,Scored an NBA-record 34 points in one first quarter.,Won a rebounding title and a Three-Point Contest.,Stayed with Curry for the final defensive stop of Game 7.
,Shawn Kemp,PF,ALL_STAR,4,0.15,Received Finals MVP votes while losing the 1996 Finals.,Averaged only 6.5 PPG as a rookie.,Entered the NBA without playing a college game.,1989-2003,Drafted 17th overall at age 19.,"Became half of Seattle's ""Reign Man & The Glove"" duo.",Threw down the famous 1992 playoff poster on Alton Lister.
,Draymond Green,PF,SOLID,3,0.35,Finished college as Michigan State’s career rebounding leader.,Fell to the 35th pick.,Played football and baseball growing up.,2012-present,Recorded a triple-double while scoring only 4 points.,Won DPOY and four titles with one franchise.,Was suspended for Game 5 of the 2016 Finals.
,Dennis Rodman,PF,SOLID,3,0.35,Scored a career-high 32 with no plays called for him.,Averaged only 7.3 PPG for his career.,Worked as an airport janitor after high school.,1986-2000,Led the NBA in rebounding seven straight seasons.,Won five titles and two DPOYs.,Left during the 1998 Finals for a wrestling match.
,Rasheed Wallace,PF,SOLID,3,0.35,Made four All-Star teams.,Never averaged 20 PPG in a season.,Played two college seasons at North Carolina.,"1995-2010, 2012-2013",Set an NBA record with 41 technicals in one season.,"Guaranteed a playoff Game 2 win, then delivered.","Played one Atlanta game, then joined Detroit and won the title."
,Zach Randolph,PF,SOLID,3,0.35,Won Most Improved Player in his third season.,Sat out his entire final NBA season.,Played college basketball at Michigan State.,2001-2018,Became the first Grizzly to have his number retired.,Scored 31 to eliminate the No. 1 Spurs as an 8-seed.,Became a face of Memphis’ “Grit and Grind” era.
,Paul Millsap,PF,SOLID,3,0.35,Led Division I in rebounding three straight seasons.,Fell to the 47th pick.,College teammates called him “Mr. Clean.”,2006-2022,Made four straight All-Star teams after leaving Utah.,"Recorded 1,000 blocks and 1,000 steals.",Scored 11 points in 28 seconds against Miami’s Big Three.
,David West,PF,SOLID,3,0.35,Won National Player of the Year at Xavier.,Missed 52 games in his second NBA season.,Spent offseasons training as a boxer.,2003-2018,Made back-to-back All-Star teams.,Walked away from about $12M to take the veteran minimum.,Finished his career with back-to-back Warriors titles.
,Carlos Boozer,PF,SOLID,3,0.35,Won the 2001 NCAA championship at Duke.,Fell to the 35th pick.,Born in Germany and raised in Alaska.,2002-2015,Became a two-time All-Star in Utah.,Rented his Beverly Hills house to Prince.,"Prince turned the fountain purple, then paid to restore everything."
,Antoine Walker,PF,SOLID,3,0.35,Made three All-Star teams.,Shot 32.5% from three for his career.,Celebrated big shots with a full-body shimmy.,1996-2008,Won the 2006 championship with Miami.,Spent his prime as Paul Pierce’s Boston co-star.,Explained all the threes: “because there were no fours.”
,Lamar Odom,PF,SOLID,3,0.35,Won Sixth Man while playing all 82 games.,Never made an NBA All-Star team.,Left-handed 6-foot-10 point-forward.,1999-2013,Hit a last-second three to win the A-10 title.,Won back-to-back championships with the Lakers.,Arrived in L.A. in the trade that sent Shaq to Miami.
,Al Horford,PF,SOLID,3,0.35,Won back-to-back NCAA championships.,Played 186 playoff games before winning a title.,Married a former Miss Universe.,2007-present,His father was the NBA’s first Dominican-born player.,Three Florida teammates went top-nine in the same draft.,Became the first Dominican-born NBA champion in Year 17.
,Serge Ibaka,PF,SOLID,3,0.35,Led the league in blocks in consecutive seasons.,Never made an NBA All-Star team.,Is the third-youngest of 18 children.,2009-2023,Speaks four languages and represented Spain internationally.,Seattle drafted him in its final season before relocating.,Won the 2019 championship with Toronto.
,Derrick Coleman,PF,SOLID,3,0.35,Averaged 18.4 and 10.3 as a rookie.,Made only one All-Star team.,Left-handed big who played at Syracuse.,1990-2005,Went No. 1 overall in 1990.,Became an All-Star starter alongside Kenny Anderson.,"Hated the Nets’ tie-dye, then jumped from his car to autograph one."
,Larry Johnson,PF,SOLID,3,0.35,Won Rookie of the Year.,Back problems ended his career early.,Won an NCAA championship at UNLV.,1991-2001,Converse turned him into “Grandmama” in commercials.,Played himself in Space Jam.,Hit the famous four-point play in the 1999 East Finals.
,Antonio McDyess,PF,SOLID,3,0.35,"Once posted 46 points, 19 rebounds and 4 blocks.",Missed an entire season after major knee problems.,Entered the league with a 42-inch vertical.,1995-2011,Went No. 2 overall in 1995.,Reinvented himself as a key Pistons bench piece.,Three Suns teammates flew to Denver trying to keep him.
,Jermaine O’Neal,PF,SOLID,3,0.35,Scored 55 in 36 minutes without making a three.,Spent four seasons buried on Portland’s bench.,Entered the NBA directly from high school.,1996-2014,Became the NBA’s youngest player ever at the time.,Finished third in 2004 MVP voting.,"Donated $55,000 after his 55-point game."
,Josh Smith,PF,SOLID,3,0.35,"Became the youngest player ever to reach 1,000 blocks.",Shot 28.5% from three for his career.,Entered the NBA directly from high school.,2004-2016,Won the 2005 Slam Dunk Contest.,Detroit waived him; Houston signed him four days later.,Helped fuel Houston’s infamous 2015 Game 6 comeback.
,Thaddeus Young,PF,SOLID,3,0.35,Recorded 8 steals in an NBA game.,Never made an All-Star team in 17 seasons.,Left-handed forward who played one Georgia Tech season.,2007-2024,Was traded straight-up for Kevin Garnett in 2015.,"Played more than 1,100 NBA games.",Earned the nickname “Thagic Johnson.”
,Aaron Gordon,PF,SOLID,3,0.35,Started every playoff game on a championship team.,Never made an NBA All-Star team.,Played one college season at Arizona.,2014-present,Finished second in the legendary 2016 Dunk Contest.,Got six straight perfect 50s in 2020 and lost again.,Won a title after Orlando traded him to Denver.
,Boris Diaw,PF,SOLID,3,0.35,Won Most Improved Player after being traded.,Was waived by Charlotte midway through 2012.,Kept an espresso machine in his locker and on road trips.,2003-2017,Recorded seven career triple-doubles before joining San Antonio.,Played youth basketball in France with Tony Parker.,Became a champion with Parker in San Antonio.
,P.J. Tucker,PF,SOLID,3,0.35,Won Big 12 Player of the Year.,Played only 17 NBA games before five years overseas.,His actual first name is Anthony.,"2006-2007, 2012-2025",Won league MVP in Israel and Finals MVP in Germany.,Returned to the NBA through Phoenix Summer League.,"Played 36 minutes, scored 0, and was +13 in a title clincher."
,Taj Gibson,PF,BENCH,2,0.3,Made All-Rookie First Team as the 26th pick.,Never averaged 10 PPG in eight Bulls seasons.,Worked carpentry and furniture-moving jobs at 14.,2009-2026,Entered USC as a 21-year-old freshman.,"Played over 1,000 NBA games.",Chicago drafted him in 2009; he stayed eight seasons.
,Udonis Haslem,PF,BENCH,2,0.3,Made All-Rookie Second Team after going undrafted.,Had to start his pro career in France.,Dropped about 70 pounds before making the NBA.,2003-2023,Played 20 seasons without changing franchises.,Became his franchise’s all-time leading rebounder.,Won all three Miami titles as a hometown lifer.
,Brandon Bass,PF,BENCH,2,0.3,Won SEC Player of the Year as a sophomore.,Averaged just 0.8 assists for his NBA career.,Left college after only two seasons.,2005-2017,Fell to the 33rd pick despite his SEC award.,Scored 18 points in one playoff third quarter.,Scored 27 points in a 2012 playoff Game 5 for Boston.
,Amir Johnson,PF,BENCH,2,0.3,Career 57% FG percentage.,Fell all the way to the 56th pick.,Was the last high-school senior drafted before the age rule.,2005-2019,His first NBA basket was a windmill dunk.,Spent six seasons becoming a Toronto fan favorite.,"Detroit drafted him at 18 years, 58 days old."
,Jason Maxiell,PF,BENCH,2,0.3,Played 129 consecutive college games.,Averaged only 6.1 PPG through eight Detroit seasons.,Stood just 6-foot-7 as a power forward/center.,2005-2015,Blocked 91 shots in his final college season.,Detroit drafted him 26th overall in 2005.,His first eight NBA seasons were all with the Pistons.
,Carl Landry,PF,BENCH,2,0.3,2008 All-Rookie,Fell into the second round of the draft.,Played college basketball at Purdue.,2007-2016,A bizarre Dirk collision inspired a Twitter account for his teeth.,Scored 13 fourth-quarter points in an early rookie breakout.,Became a key bench scorer for the late-2000s Rockets.
,Glen Davis,PF,BENCH,2,0.3,Helped take LSU to the 2006 Final Four.,Never averaged 16 PPG in an NBA season.,Got “Big Baby” from playing older kids in football.,2007-2015,Once wrestled Shaq on LSU’s campus as a teenager.,Nearly landed a role in The Blind Side.,Won the 2008 title as a Celtics rookie.
,Patrick Patterson,PF,BENCH,2,0.3,Was one of five Kentucky first-rounders in 2010.,Never averaged 12 PPG in an NBA season.,Interned in Hollywood movie production during an offseason.,2010-2021,Sought a Hollywood internship to connect with Marvel.,Became a hugely valuable Toronto bench plus-minus player.,Houston drafted him 14th overall in 2010.
,Ed Davis,PF,BENCH,2,0.3,Won an NCAA championship as a freshman.,Never made a three-pointer in his NBA career.,His father played 10 NBA seasons.,2010-2022,Toronto drafted him 13th while Chris Bosh was leaving.,Reggie Evans became his tough veteran mentor.,Told reporters his favorite player was Chris Bosh.
,Trevor Booker,PF,BENCH,2,0.3,Became a dependable rebounder despite standing only 6-foot-8.,Never made an NBA All-Star team.,His younger brother is also named Devin Booker.,2010-2018,"Hit a ridiculous no-look, over-the-head tap shot.","Was traded for Okafor, Stauskas and a second-rounder.",Washington originally acquired him as the 23rd pick.
,Darrell Arthur,PF,BENCH,2,0.3,Posted 20 and 10 in an NCAA title game.,Knee trouble limited one season to 41 games.,His draft rights moved through four teams in one night.,2008-2018,Shot 45.3% from three in an injury-shortened season.,Won the 2008 national championship with Kansas.,Memphis finally acquired him after the draft-night chaos.
,Anthony Tolliver,PF,BENCH,2,0.3,Once went 11-for-11 in a college game.,Went undrafted and started in the D-League.,Graduated as a finance major with a 3.53 GPA.,2008-2021,Played for 10 different NBA teams.,His childhood nickname was “A Train.”,Scored 34 in Don Nelson’s record-setting win.
,JaMychal Green,PF,BENCH,2,0.3,Averaged 23.0 and 10.7 in the D-League.,Went undrafted out of Alabama.,Spent a professional season in France.,2014-2023,Became a full-time Memphis starter in year three.,Led Memphis with 49 dunks in 2016-17.,Went from Spurs D-League project to Grizzlies starter.
,Mike Scott,PF,BENCH,2,0.3,Lasted 10 NBA seasons as a second-round pick.,Never averaged double-digit scoring for a season.,Covered his arms with emoji tattoos.,2012-2021,Atlanta built an emoji campaign around him.,Was drafted 43rd overall in 2012.,Became a cult-favorite reserve during Atlanta’s 60-win era.
,Dante Cunningham,PF,BENCH,2,0.3,Led a Final Four team in scoring and rebounding.,Fell to the 33rd pick.,Does his own car repairs and oil changes.,2009-2019,Wore No. 44 to honor his pro-basketball-playing sister.,One of his favorite movies is The Little Mermaid.,Played 715 NBA games across 10 seasons.
,Chuck Hayes,PF,BENCH,2,0.3,Finished 12th in DPOY voting one season.,Averaged only 3.7 PPG for his career.,"Went undrafted, then began in the D-League.",2005-2015,Helped fill center minutes during Houston’s 22-game streak.,Houston once openly campaigned for him as All-Defense.,Nicknames included “Chuckwagon” and “The Cooler.”
,Kris Humphries,PF,BENCH,2,0.3,Averaged a double-double in consecutive NBA seasons.,Never made an NBA All-Star team.,Was an elite competitive swimmer as a child.,2004-2017,Posted faster age-group times than Phelps and Lochte.,Held multiple national youth swimming records.,Gave up elite swimming because he preferred basketball.
,Tyler Hansbrough,PF,BENCH,2,0.3,Finished as UNC and the ACC’s career scoring leader.,Averaged only 6.7 PPG in the NBA.,Had nightmares about snakes in college.,2009-2016,“Psycho T” came from his weight-room intensity.,Won National Player of the Year in 2008.,Won the 2009 NCAA title after returning for senior year.
,Reggie Evans,PF,BENCH,2,0.3,Led the nation in double-doubles at Iowa.,Twice averaged 10+ rebounds but under 5 points.,Was unrecruited and started at junior college.,2002-2015,"Cried after going undrafted, then returned to the gym.",A coach told him to model himself after Dennis Rodman.,Built a 13-year NBA career almost entirely on rebounding.
,Ersan İlyasova,PF,BENCH,2,0.3,Shot 45.5% from three in his best shooting season.,Once went six straight games without making a three.,Played all 82 games for the first time in year nine.,"2006-2007, 2009-2021",Led the NBA with 36 charges drawn.,Drew more offensive fouls than anyone over a decade.,"Dropped 29/25, joining Kareem in Bucks 25/25 history."
,Anthony Bennett,PF,BUST,1,0.15,Recorded 12 double-doubles in his lone college season.,Averaged 4.2 PPG as a rookie without starting once.,Transferred to Findlay Prep before college.,2013-2017,Won Mountain West Freshman of the Year at UNLV.,Became the first Canadian drafted No. 1 overall.,Cleveland traded him after one season in the Kevin Love deal.
,Derrick Williams,PF,BUST,1,0.15,Shot 56.8% from three as a college sophomore.,Never made an NBA All-Star team.,His college team practiced at his old high school during March Madness.,2011-2018,Won Pac-10 Player of the Year after previously winning Freshman of the Year.,Dropped 32 and 13 to eliminate defending-champion Duke.,"Minnesota drafted him No. 2, one pick after Kyrie Irving."
,Thomas Robinson,PF,BUST,1,0.15,Posted 30 points and 21 rebounds in one college game.,Never averaged double-digit scoring in an NBA season.,Played three college seasons at Kansas.,2012-2017,Led the nation with 27 double-doubles as a junior.,Became Big 12 Player of the Year and the No. 5 pick.,Sacramento traded him four months into his rookie season.
,Tyrus Thomas,PF,BUST,1,0.15,Once blocked 9 shots in an NBA game.,Never developed into a consistent NBA scorer.,His favorite player growing up was Tracy McGrady.,2006-2015,Won NCAA Atlanta Regional MVP as a freshman.,Portland selected him 4th overall in 2006.,His draft rights were traded for LaMarcus Aldridge.
,Stromile Swift,PF,BUST,1,0.15,Once blocked 8 shots in an NBA game.,Averaged only 8.4 PPG across nine NBA seasons.,Played two college seasons at LSU.,2000-2009,Won SEC Co-Player of the Year before reaching the Sweet 16.,Vancouver drafted him 2nd overall in 2000.,Kenyon Martin was the only player selected before him.
,Michael Beasley,PF,BUST,1,0.15,Led Division I with 28 double-doubles as a freshman.,Never made an NBA All-Star team.,Attended six different high schools.,2008-2019,Averaged 26.2 points and 12.4 rebounds in one college season.,Went No. 2 overall in the 2008 draft.,Derrick Rose was the only player drafted ahead of him.
,Jan Veselý,PF,BUST,1,0.15,Won EuroLeague MVP years after leaving the NBA.,Shot 40.8% from the line for his NBA career.,Played professionally in Slovenia and Serbia before coming over.,2011-2014,Washington drafted him 6th overall in 2011.,His NBA career lasted only three seasons.,His draft-night kiss became a memorable 2011 draft moment.
,Noah Vonleh,PF,BUST,1,0.15,Shot 48.5% from three in his lone college season.,Scored only 83 points during his rookie season.,Measured a nearly 12-inch hand width at the combine.,2014-2023,Won Big Ten Freshman of the Year.,Charlotte drafted him 9th overall in 2014.,Charlotte traded him after one season in the Nicolas Batum deal.
,Marvin Bagley III,PF,BUST,1,0.15,Posted 20/10 in each of his first three NBA starts.,Has already played for six franchises.,Played only one college season.,2018-present,"Led the ACC in scoring, rebounding and FG% as a freshman.","Won ACC Player and Rookie of the Year, then went No. 2.",Sacramento selected him one pick before Luka Dončić.
,Jabari Parker,PF,BUST,1,0.15,Led his high school to four straight state titles.,Missed 145 regular-season games during four Milwaukee seasons.,Became the first freshman to play varsity at Simeon.,2014-2022,Set or tied numerous Duke freshman records in one season.,Milwaukee drafted him 2nd overall in 2014.,"Famously said, “They don't pay players to play defense.”"
,Yi Jianlian,PF,BUST,1,0.15,"Became the first CBA player with 10,000 points and 5,000 rebounds.",Averaged only 7.9 PPG across five NBA seasons.,Was nicknamed “The Chairman.”,2007-2012,Played alongside Yao Ming for China.,Milwaukee drafted him 6th overall in 2007.,He admitted the pick surprised him because Milwaukee never worked him out.
,Shelden Williams,PF,BUST,1,0.15,"Became the first NCAA player with 1,750 points, 1,250 rebounds, 400 blocks and 150 steals.",His NBA career lasted only six seasons.,Played all four college seasons at Duke.,2006-2012,Won National Defensive Player of the Year twice.,Atlanta drafted him 5th overall in 2006.,Duke retired his No. 23 less than a year after he left.
,Marcus Fizer,PF,BUST,1,0.15,Scored a Big 12 Tournament-record 38 points in one game.,His NBA career high was only 30 points.,Arrived at Iowa State as a McDonald's All-American from Louisiana.,2000-2006,Became a consensus All-American and Big 12 Player of the Year.,Chicago drafted him 4th overall in 2000.,He went two picks after Stromile Swift and one pick before Rookie of the Year Mike Miller.
,Robert Traylor,PF,BUST,1,0.15,Posted 24 and 13 to win the inaugural Big Ten Tournament.,Never became a full-time NBA starter.,Initially hated the nickname “Tractor.”,1998-2005,Once shattered a backboard during a Michigan game.,Dallas drafted him 6th overall in 1998.,His draft-night trade helped Dallas land Dirk Nowitzki and Steve Nash.
,Earl Clark,PF,BUST,1,0.15,Recorded 17 double-doubles in his final college season.,Averaged only 4.4 PPG for his NBA career.,Missed a pre-draft workout because his daughter was being born.,2009-2015,Led Louisville in both scoring and rebounding on a Big East champion.,Phoenix drafted him 14th overall in 2009.,"His best NBA stretch included a 22-point, 13-rebound Lakers game."
